id;nom;date_str;environnement;nbtests;nbtests_ok;nbtests_ko;logo
1;après que;large adversaire vers;rire là même si;22098;31676;3580;sauf tant
2;si bien que ha ha lunatique;aussitôt que;évaluer;9794;18352;12666;subito
3;large dès pour que;équipe;pourvu que;21664;17456;6185;dynamique quand
4;auprès de refroidir dessus;aux environs de pendant que;désormais;12083;12835;12265;sauf tsoin-tsoin
5;affable guide;sur à côté de;d'avec du côté de rectorat;22839;23544;30255;décider
6;touriste apte pis;après que commis de façon que;boum déjà;24080;12991;19224;hausser vite solitaire
7;police;avant de intrépide au-dessus de;hi miam;30596;11603;20374;masquer garantir bang
8;quitte à;épanouir;ouin gonfler;2926;3385;16725;compliquer
9;charitable;ouch direction;voir remédier autant;27514;2872;20190;naguère
10;chef maigre;veiller;de peur que bang crac;24084;26981;17870;endormir diététiste durant
